Column array (EcoMAC),Gene perturbated
590,WT
591,WT
592,WT
593,appY
594,appY
595,appY
596,arcA
597,arcA
598,arcA
599,fnr
600,fnr
601,fnr
602,arcA fnr
603,arcA fnr
604,arcA fnr
605,oxyR
606,oxyR
607,oxyR
608,soxS
609,soxS
610,soxS
611,WT
612,WT
613,WT
614,WT
615,appY
616,appY
617,appY
618,arcA
619,arcA
620,arcA
621,fnr
622,fnr
623,fnr
624,arcA fnr
625,arcA fnr
626,arcA fnr
627,oxyR
628,oxyR
629,oxyR
630,soxS
631,soxS
632,soxS
633,
634,
635,
636,
637,
638,
639,
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,
650,
651,
652,
653,
654,
655,
656,
657,
658,
659,
660,crp
661,crp
662,crp
663,cspA
664,dps
665,dps
666,dps
667,dps
668,dps
669,dps
670,hns
671,hns
672,hns
673,hupB
674,
675,
676,
677,
678,
679,ala2 supressor
680,ala2 supressor
681,ala2 supressor
682,fnr
683,fnr
684,fnr
685,wt
686,wt
687,wt
688,fnr
689,fnr
690,fnr
691,fnr
692,WT
693,WT
694,WT
695,
696,
697,
698,IPTG
699,IPTG
700,IPTG
701,
702,
703,
704,IPTG
705,IPTG
706,IPTG
707,WT
708,WT
709,WT
710,WT
711,WT
712,
713,
714,
715,IPTG
716,IPTG
717,IPTG
718,
719,
720,
721,IPTG
722,IPTG
723,IPTG
724,
725,
726,
727,
728,
729,
730,
731,
732,
733,
734,
735,
736,
737,
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
749,
750,
751,
752,
753,
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,
764,
765,
766,
767,
768,
769,
770,
771,WT
772,WT
773,WT
774,WT
775,WT
776,WT
777,WT
778,WT
779,WT
780,WT
781,recA
782,recA
783,recA
784,recA
785,recA
786,ccdB
787,ccdB
788,ccdB
789,ccdB
790,ccdB
791,recA
792,recA
793,recA
794,recA
795,recA
796,recA ccdB
797,recA ccdB
798,recA ccdB
799,recA ccdB
800,recA ccdB
801,
802,
803,
804,
805,
806,
807,
808,
809,
810,
811,
812,
813,ccdB
814,ccdB
815,ccdB
816,ccdB
817,lacZ
818,lacZ
819,lacZ
820,lacZ
821,ccdB
822,ccdB
823,ccdB
824,ccdB
825,ccdB
826,ccdB
827,ccdB
828,ccdB
829,ccdB
830,ccdB
831,ccdB
832,ccdB
833,
834,
835,
836,
837,
838,
839,
840,
841,
842,
843,
844,
845,
846,
847,
848,
849,
850,
851,
852,
853,
854,
855,
856,
857,
858,
859,
860,
861,
862,
863,
864,
865,WT
866,tnaA
867,WT
868,trpE
869,yceP
870,yceP
871,yceP
872,WT
873,WT
874,WT
875,WT
876,WT
877,WT
878,WT
