cor_v,p_v,cond,meths,ex_o,ex_m,TM
0.169030851,0.689052226,WT,CF_S - FVA (min),3.2,3.2,TM_1
0.169030851,0.689052226,WT,CF_S - FVA (max),3.2,3.2,TM_1
0.169030851,0.689052226,WT,CF_S - FBA,3.2,3.2,TM_1
0.169030851,0.689052226,WT,TRIMER,3.2,3.2,TM_1
0.169030851,0.689052226,WT,GIMME - FBA,3.2,3.2,TM_1
0.169030851,0.689052226,WT,GIMME - FVA (min),3.2,3.2,TM_1
0.169030851,0.689052226,WT,GIMME - FVA (max),3.2,3.2,TM_1
0.281718085,0.49906138,B KO,CF_S - FVA (min),3.2,3.2,TM_1
0.866025404,0.00542395,B KO,CF_S - FVA (max),3.2,3.2,TM_1
0.281718085,0.49906138,B KO,CF_S - FBA,3.2,3.2,TM_1
0.281718085,0.49906138,B KO,TRIMER,3.2,3.2,TM_1
0.281718085,0.49906138,B KO,GIMME - FBA,3.2,3.2,TM_1
0.281718085,0.49906138,B KO,GIMME - FVA (min),3.2,3.2,TM_1
0.281718085,0.49906138,B KO,GIMME - FVA (max),3.2,3.2,TM_1
0.169030851,0.689052226,E KO,CF_S - FVA (min),3.2,3.2,TM_1
0.866025404,0.00542395,E KO,CF_S - FVA (max),3.2,3.2,TM_1
0.169030851,0.689052226,E KO,CF_S - FBA,3.2,3.2,TM_1
0.169030851,0.689052226,E KO,TRIMER,3.2,3.2,TM_1
0.169030851,0.689052226,E KO,GIMME - FBA,3.2,3.2,TM_1
0.169030851,0.689052226,E KO,GIMME - FVA (min),3.2,3.2,TM_1
0.169030851,0.689052226,E KO,GIMME - FVA (max),3.2,3.2,TM_1
0.169030851,0.689052226,Z KO,CF_S - FVA (min),3.2,3.2,TM_1
0.169030851,0.689052226,Z KO,CF_S - FVA (max),3.2,3.2,TM_1
0.169030851,0.689052226,Z KO,CF_S - FBA,3.2,3.2,TM_1
0.169030851,0.689052226,Z KO,TRIMER,3.2,3.2,TM_1
0.169030851,0.689052226,Z KO,GIMME - FBA,3.2,3.2,TM_1
0.169030851,0.689052226,Z KO,GIMME - FVA (min),3.2,3.2,TM_1
0.169030851,0.689052226,Z KO,GIMME - FVA (max),3.2,3.2,TM_1
0.169030851,0.689052226,A KO,CF_S - FVA (min),3.2,3.2,TM_1
0.169030851,0.689052226,A KO,CF_S - FVA (max),3.2,3.2,TM_1
0.169030851,0.689052226,A KO,CF_S - FBA,3.2,3.2,TM_1
0.169030851,0.689052226,A KO,TRIMER,3.2,3.2,TM_1
0.169030851,0.689052226,A KO,GIMME - FBA,3.2,3.2,TM_1
0.169030851,0.689052226,A KO,GIMME - FVA (min),3.2,3.2,TM_1
0.169030851,0.689052226,A KO,GIMME - FVA (max),3.2,3.2,TM_1
0.281718085,0.49906138,X KO,CF_S - FVA (min),3.2,3.2,TM_1
0.281718085,0.49906138,X KO,CF_S - FVA (max),3.2,3.2,TM_1
0.281718085,0.49906138,X KO,CF_S - FBA,3.2,3.2,TM_1
0.281718085,0.49906138,X KO,TRIMER,3.2,3.2,TM_1
0.281718085,0.49906138,X KO,GIMME - FBA,3.2,3.2,TM_1
0.281718085,0.49906138,X KO,GIMME - FVA (min),3.2,3.2,TM_1
0.281718085,0.49906138,X KO,GIMME - FVA (max),3.2,3.2,TM_1
0.208656212,0.619976726,WT,CF_S - FVA (min),320,320,TM_1
0.963624112,0.000117073,WT,CF_S - FVA (max),320,320,TM_1
0.169030851,0.689052226,WT,CF_S - FBA,320,320,TM_1
0.169030851,0.689052226,WT,TRIMER,320,320,TM_1
0.169030851,0.689052226,WT,GIMME - FBA,320,320,TM_1
0.169030851,0.689052226,WT,GIMME - FVA (min),320,320,TM_1
0.169030851,0.689052226,WT,GIMME - FVA (max),320,320,TM_1
0.281718085,0.49906138,B KO,CF_S - FVA (min),320,320,TM_1
0.866025404,0.00542395,B KO,CF_S - FVA (max),320,320,TM_1
0.281718085,0.49906138,B KO,CF_S - FBA,320,320,TM_1
0.281718085,0.49906138,B KO,TRIMER,320,320,TM_1
0.281718085,0.49906138,B KO,GIMME - FBA,320,320,TM_1
0.281718085,0.49906138,B KO,GIMME - FVA (min),320,320,TM_1
0.281718085,0.49906138,B KO,GIMME - FVA (max),320,320,TM_1
0.169030851,0.689052226,E KO,CF_S - FVA (min),320,320,TM_1
0.963624112,0.000117073,E KO,CF_S - FVA (max),320,320,TM_1
0.169030851,0.689052226,E KO,CF_S - FBA,320,320,TM_1
0.169030851,0.689052226,E KO,TRIMER,320,320,TM_1
0.169030851,0.689052226,E KO,GIMME - FBA,320,320,TM_1
0.169030851,0.689052226,E KO,GIMME - FVA (min),320,320,TM_1
0.169030851,0.689052226,E KO,GIMME - FVA (max),320,320,TM_1
0.169030851,0.689052226,Z KO,CF_S - FVA (min),320,320,TM_1
0.963624112,0.000117073,Z KO,CF_S - FVA (max),320,320,TM_1
0.169030851,0.689052226,Z KO,CF_S - FBA,320,320,TM_1
0.169030851,0.689052226,Z KO,TRIMER,320,320,TM_1
0.169030851,0.689052226,Z KO,GIMME - FBA,320,320,TM_1
0.169030851,0.689052226,Z KO,GIMME - FVA (min),320,320,TM_1
0.169030851,0.689052226,Z KO,GIMME - FVA (max),320,320,TM_1
0.169030851,0.689052226,A KO,CF_S - FVA (min),320,320,TM_1
