0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.345672952682178+0i,0.345672340069095+0i,0.164843568506491+0i,0.082081323393115+0i,0.0827622240332899+0i,0.041092371069001+0i,0.0409889748333881+0i,0.0410891943107708+0i,0.0410890161539779+0i
0.85204697090421+0i,0.851973332775847+0i,0.403623918745827+0i,0.215776770692002+0i,0.187843639742591+0i,0.0965668642877998+0i,0.119206582349903+0i,0.0965637817979105+0i,0.096539178870977+0i
NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi
0.565566917566343+0i,0.565567393627343+0i,0.269706688837882+0i,0.134308721129378+0i,0.135397984581635+0i,0.0672029212812643+0i,0.0671058099028883+0i,0.0671536136253903+0i,0.0671571270601083+0i
0.79366359464621+0i,0.793663917899987+0i,0.378480876441896+0i,0.188482032158978+0i,0.189998867845301+0i,0.0942909005593029+0i,0.0941911528452286+0i,0.0942902388784607+0i,0.0942903449256054+0i
1.87545135583726e-24+0i,1.87487865776705e-24+0i,9.32752692406606e-25+0i,5.25150781613812e-25+0i,4.05795911250506e-25+0i,2.32788786103719e-25+0i,2.89423482452949e-25+0i,3.10371814008193e-25+0i,3.08732175883641e-25+0i
-6.0159198654551e-08+0i,-5.99998779560997e-08+0i,-2.98498441296986e-08+0i,-1.58622185910803e-08+0i,-1.39191589014562e-08+0i,-7.52113614424376e-09+0i,-8.30667791019568e-09+0i,-5.53681084647189e-09+0i,-5.4770053830607e-09+0i
0.846605613990153+0i,0.846311945406205+0i,0.400329657066611+0i,0.186929804121255+0i,0.213398647094126+0i,0.10173529669528+0i,0.085191878574739+0i,0.0851892608278354+0i,0.0850965276604159+0i
NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi
7.27846492568121e-24+0i,7.36406159363014e-24+0i,3.68203046642377e-24+0i,2.09274492012136e-24+0i,1.62712620274623e-24+0i,9.5148528639204e-25+0i,1.16339470167584e-24+0i,1.61998161252255e-24+0i,1.6505160770428e-24+0i
3.46578653864762e-06+0i,3.46989316246135e-06+0i,1.73494635977179e-06+0i,4.93533720394953e-07+0i,1.24434287939165e-06+0i,3.53311664188883e-07+0i,1.41055297431716e-07+0i,8.94412436961884e-08+0i,9.25238904504366e-08+0i
2.62530219226012e-06+0i,2.62859898275605e-06+0i,1.31429932989218e-06+0i,5.39266560587446e-07+0i,7.76981536754205e-07+0i,3.18045063043636e-07+0i,2.22019449058354e-07+0i,1.27095604991266e-07+0i,1.29492587964899e-07+0i
0.271212900680681+0i,0.271145071042209+0i,0.128228395842058+0i,0.0560337312497934+0i,0.0721833863540128+0i,0.0305542384953215+0i,0.0254722158332229+0i,0.0249450811674936+0i,0.0249216372088873+0i
0.058979999868822+0i,0.0590774497457245+0i,0.0293889751981656+0i,0.0145754133552524+0i,0.0148541132067163+0i,0.00731628535020662+0i,0.00727715937993264+0i,0.00377313359936552+0i,0.00381141160370562+0i
0.278319157653785+0i,0.278223118145649+0i,0.131607470181466+0i,0.0588902724239681+0i,0.0727152132776921+0i,0.0337109248717302+0i,0.0251770286750905+0i,0.0251748034125105+0i,0.0251444805802779+0i
0.62805258079158+0i,0.628053006667963+0i,0.299504695412497+0i,0.153723144365603+0i,0.145781537728533+0i,0.0738795466883958+0i,0.0798434761804558+0i,0.0738779245164009+0i,0.0738801275998726+0i
0.952138216215509+0i,0.952137894362944+0i,0.45405368431637+0i,0.174019851857035+0i,0.280033814872029+0i,0.118793907742497+0i,0.0552259481204874+0i,0.0552259107720787+0i,0.055225871467805+0i
0.278959971586323+0i,0.278872646039327+0i,0.131915213948549+0i,0.0563368833936937+0i,0.0755763335759683+0i,0.0340242640895968+0i,0.0223105920052971+0i,0.0223085519114978+0i,0.0222808892528355+0i
0.72904324043634+0i,0.729043109747162+0i,0.347664657854419+0i,0.138354399972762+0i,0.209310234355009+0i,0.089066081859312+0i,0.0492883156612918+0i,0.0492882486764955+0i,0.0492883136781164+0i
0.368561848545648+0i,0.368433729387784+0i,0.169695224323267+0i,0.0777210564479763+0i,0.0919589006541298+0i,0.0403713303976396+0i,0.0373426648628622+0i,0.037373158256616+0i,0.0373292595586878+0i
0.267488236260024+0i,0.26741864685154+0i,0.126496536452536+0i,0.0548942101637497+0i,0.0715860539960821+0i,0.0300131077191381+0i,0.0248731378734596+0i,0.0245126484486869+0i,0.0244868439716879+0i
0.00672820274558997+0i,0.00674673841936674+0i,0.00335592133676432+0i,0.00125743426176441+0i,0.00210950344532286+0i,0.000790384078167748+0i,0.000470964026457118+0i,0.000430577453581276+0i,0.000437312697180192+0i
1.76444353559626e-06+0i,1.76996627399354e-06+0i,8.84983024256711e-07+0i,5.15331262896579e-07+0i,3.71972710100914e-07+0i,2.18276547647216e-07+0i,2.98416709379739e-07+0i,1.08467215177056e-07+0i,1.11111561886175e-07+0i
