0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i,0+0i
0.000881403805931262+0i,0.000881414519046389+0i,0.000440707185153892+0i,0.000219536137624978+0i,0.000221265494192115+0i,0.000109748681678966+0i,0.000109748088051102+0i,1.38003200925085e-05+0i,1.38009876219485e-05+0i
173.32419097407+0i,173.322410254698+0i,85.7542397277869+0i,47.622047123291+0i,38.1329637394929+0i,20.836447292297+0i,26.7856087505919+0i,2.71215114260798+0i,2.71218056786628+0i
-1.36531591652017e-13-2.4148448793331e-09i,-1.94102508199477e-12+5.38113440351649e-07i,-6.54515190156976e-13+2.69056720167382e-07i,-1.73871928475969e-14+4.58162805920101e-08i,-1.94688600605512e-14+5.13085144935689e-08i,-9.15962210642757e-15+2.40776521037071e-08i,-8.24368637768111e-15+2.16685889084392e-08i,-1.2763569993382e-15+4.13830427596304e-32i,-1.27678259353606e-15-1.24804180708705e-20i
NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi
0.00284983132261214+0i,0.00284983730307135+0i,0.0014249180714621+0i,0.000709663547872525+0i,0.000715253462110803+0i,0.00035483903688778+0i,0.000354838102248782+0i,2.67475241845851e-05+0i,2.67490253090472e-05+0i
27.4186950841507+0i,27.4181385965186+0i,13.6543852945952+0i,7.85298741946143+0i,5.80156656911202+0i,3.28734881515605+0i,4.5657072916167+0i,0.775279222603803+0i,0.775283950161706+0i
46.3330091195914+0i,46.3318537017269+0i,23.0735409716008+0i,12.4200170899275+0i,10.6538864310189+0i,5.66048767003891+0i,6.75960630401295+0i,1.01718442557095+0i,1.01719253563579+0i
707.744467527225+0i,707.748232246751+0i,350.750219906765+0i,162.615229074654+0i,188.136891938153+0i,88.5432698343074+0i,74.0722165007316+0i,2.22040430802822+0i,2.22052421929844+0i
-7.2392790423132e-14-4.18770447503924e-17i,-7.24205956040221e-14+1.09071768384584e-15i,-3.62102978016742e-14+5.4535886428949e-16i,-1.48469287495816e-14+8.66334992105845e-17i,-2.13797861717424e-14+1.24753457073357e-16i,-8.73949752008315e-15+5.08724261893308e-17i,-6.1141421183415e-15+3.55902891340883e-17i,-2.11401438207367e-15+8.22966710873613e-37i,-2.11424929866305e-15-5.25660728871382e-28i
0.000210703411175006+0i,0.00021070653950988+0i,0.000105353258308134+0i,6.12556641849937e-05+0i,4.4098854270645e-05+0i,2.55255921693943e-05+0i,3.57346938074724e-05+0i,5.96729904234563e-06+0i,5.96740216074528e-06+0i
0.00106772413506571+0i,0.00106771587340594+0i,0.000533857851920676+0i,0.000151672261106819+0i,0.00038216702445669+0i,0.000108339216351084+0i,4.33356494767342e-05+0i,1.66944224648899e-05+0i,1.6694996635761e-05+0i
0.00100220313044332+0i,0.00100220163970348+0i,0.000501100727313965+0i,0.000205385551177977+0i,0.000295718972973098+0i,0.000120813536150175+0i,8.45693394487066e-05+0i,2.82076569821298e-05+0i,2.8208182856931e-05+0i
503.948532349342+0i,504.251192738007+0i,240.363711320764+0i,108.695425375757+0i,131.664845208721+0i,58.4619552907658+0i,50.235780360839+0i,17.2685318056128+0i,17.2688200135432+0i
64.86620179907+0i,64.8660219378842+0i,32.2210633299166+0i,15.9676697694268+0i,16.253544503709+0i,7.97949951614246+0i,7.98820958721111+0i,1.01669492518821+0i,1.01670585590194+0i
244.515301300433+0i,244.518575624885+0i,120.833406143792+0i,53.6787849258282+0i,67.1567077338143+0i,30.6997534455943+0i,22.9792432477263+0i,0.772898062938111+0i,0.772939815457515+0i
0.00116925459141545+0i,0.00116942130656893+0i,0.000584710533604898+0i,0.000305187897293528+0i,0.00027962898607628+0i,0.000145309713421245+0i,0.000159840068538155+0i,2.56120429768054e-05+0i,2.56109963153854e-05+0i
-3.80834603411791e-12+5.53388401141535e-14i,-3.80833546110881e-12-1.28639595242954e-10i,-1.9041717885758e-12-6.43197975013339e-11i,-5.41010825651197e-13-1.92327152280926e-11i,-1.36318074795915e-12-4.84605222056649e-11i,-3.86438983996326e-13-1.37372499700393e-11i,-1.54575166435322e-13-5.4948848030852e-12i,-1.1894294844477e-14-4.47445637985549e-37i,-1.19062010454304e-14+4.31746565624048e-26i
244.982961355675+0i,244.988996136882+0i,121.065110687252+0i,51.1345859076581+0i,69.9311823163097+0i,30.8631218876084+0i,20.271586461223+0i,0.773169318078737+0i,0.773211081063144+0i
0.00168359909259499+0i,0.0016836549727363+0i,0.000841827261925705+0i,0.00027911014798303+0i,0.000562616809073366+0i,0.000186136960224418+0i,9.30684127319108e-05+0i,2.63209966888452e-05+0i,2.63219196335992e-05+0i
606.968147625436+0i,607.329371695019+0i,291.072499415483+0i,135.24554326387+0i,155.824993074217+0i,69.7152490660587+0i,65.5318074423081+0i,20.5875355740878+0i,20.5877606733512+0i
589.52754745373+0i,589.76444198615+0i,279.293989788972+0i,126.072928735342+0i,153.223246943446+0i,67.8581622540894+0i,58.2221229325534+0i,20.5878362574287+0i,20.5885300612479+0i
30.7383065562719+0i,30.7368982328163+0i,15.3071878325015+0i,5.93560939021857+0i,9.37208671209963+0i,3.66990394686319+0i,2.26578217654209+0i,0.290397338454683+0i,0.290402631212924+0i
0.00104005105160919+0i,0.00104006601404762+0i,0.000520032908783999+0i,0.000302382978546243+0i,0.000217689295680784+0i,0.000125971387605902+0i,0.000176358645315475+0i,2.27931715725493e-05+0i,2.27937275189801e-05+0i
NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi
-4.20725149323178e-12-2.63102081183252e-14i,-4.20734282390418e-12+1.23348295558978e-11i,-2.10367113610871e-12+6.1674148720372e-12i,-1.22314574340295e-12+2.73908109709058e-12i,-8.80562403092651e-13+1.97190878203068e-12i,-5.09668166314753e-13+1.1412273607927e-12i,-7.13499319556955e-13+1.59763744177522e-12i,-9.22167627281899e-14+7.03671784956448e-36i,-9.22299384336196e-14-1.22173764802104e-25i
5.65294911621809e-05+0i,5.6533762166332e-05+0i,2.82668779594511e-05+0i,1.25092385502672e-05+0i,1.57600128800954e-05+0i,6.95042271126197e-06+0i,5.55981913944877e-06+0i,5.53189340120185e-07+0i,5.5322004539168e-07+0i
16.8088008034773+0i,16.8671531398013+0i,8.07310383549834+0i,4.09539406974601+0i,3.97783424825107+0i,1.82843037620388+0i,2.26697868339297+0i,0.663815372720942+0i,0.663848793127036+0i
262.80574012419+0i,262.804340195218+0i,129.851510245106+0i,67.0027986256213+0i,62.8492104937641+0i,32.0037947983556+0i,34.9992070286067+0i,2.46756742290334+0i,2.46761175182438+0i
585.00989773184+0i,585.241302147879+0i,276.527547546282+0i,134.304112161898+0i,142.228940183455+0i,64.2339078679378+0i,70.0760778986974+0i,20.5879710614175+0i,20.5885386898897+0i
79.1256084745512+0i,79.1209397616333+0i,39.2682282799683+0i,21.1617575569548+0i,18.107314680339+0i,9.63789088745397+0i,11.5245879482646+0i,2.22886998531984+0i,2.22888356306613+0i
-1.49029834116624e-14+5.19312515029065e-21i,-1.49033337375225e-14-2.20922532813403e-18i,-7.45166686876126e-15-1.1046126529134e-18i,-3.51523826225361e-15-1.60157262984456e-19i,-3.93661367887132e-15-1.79355487508549e-19i,-1.85020651207485e-15-8.42827201781907e-20i,-1.66511873410251e-15-7.58513903253128e-20i,-4.20085018678212e-16-3.0547004697669e-44i,-4.20131699978186e-16-1.12095855882617e-33i
0.00186120754157871+0i,0.00186140009379314+0i,0.000930699779598207+0i,0.000524317095043607+0i,0.000406497909015134+0i,0.0002278637363719+0i,0.000296221521406166+0i,2.91200627873806e-05+0i,2.91220308192322e-05+0i
0.00144810354300888+0i,0.00144811083923269+0i,0.000724055247161248+0i,0.000377846939736165+0i,0.000346202931100881+0i,0.000179929241170899+0i,0.00019792155032234+0i,3.17104730373761e-05+0i,3.17113937732551e-05+0i
101.60025890508+0i,101.717986059369+0i,48.6849737593486+0i,19.0838596650487+0i,29.6011532559424+0i,12.0950739711076+0i,6.98879362293085+0i,3.98481166222425+0i,3.98486859286257+0i
-4.72178753467647e-12-9.09621251935323e-16i,-4.72181289473933e-12+1.69988216293066e-12i,-2.36090643152589e-12+8.49941125474991e-13i,-6.7077547009883e-13+5.47699439099016e-14i,-1.69014901778207e-12+1.38003506433622e-13i,-4.79129738905721e-13+3.91200707423062e-14i,-1.91650858945596e-13+1.56479436590571e-14i,-1.03329609991717e-13+5.57836656647449e-37i,-1.03344373475446e-13-2.97218667789975e-26i
0.000405197098099124+0i,0.000405190731719884+0i,0.000202595347270053+0i,7.55993378125901e-05+0i,0.000126991362067553+0i,4.72804767153862e-05+0i,2.83682103364053e-05+0i,1.14105889732921e-05+0i,1.14105927266026e-05+0i
6.45506139484467e-25+0i,6.33818628354878e-25+0i,3.15654004668714e-25+0i,8.91353688671865e-26+0i,2.2686259783632e-25+0i,6.53370878112953e-26+0i,2.61408990101026e-26+0i,-7.14783653956172e-25+0i,1.81634528657498e-26+0i
NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi
NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi,NaNNaNi
-6.85151308629766e-12-2.34551352707224e-15i,-6.85174797790303e-12+6.84214509439143e-13i,-3.42587398722441e-12+3.42107272014874e-13i,-1.70626725059306e-12+5.76888363916542e-14i,-1.71972463820784e-12+5.81438301988074e-14i,-8.53188791899019e-13+2.88410217415334e-14i,-8.53136954308773e-13+2.88392694340939e-14i,-1.50369165487668e-13+6.34345535102943e-36i,-1.50390649866861e-13-4.23026151194678e-26i
